Names,Reviews,Release Date,Genre
Etherborn,84%,"Jul 18, 2019",Indie
Supraland,97%,"Apr 5, 2019",Adventure
Age of Empires II: Definitive Edition,90%,"Nov 14, 2019",Strategy
Sekiro™: Shadows Die Twice,92%,"Mar 21, 2019",Souls-like
Battlewake,67%,"Sep 10, 2019",Action
Green Hell,86%,"Sep 5, 2019",Open World Survival Craft
Kingdom Rush Origins,94%,"Oct 17, 2018",Tower Defense
LEGO® The Incredibles,82%,"Jun 15, 2018",Action
Bloodroots,,,Action
Metal Wolf Chaos XD,87%,"Aug 6, 2019",America
Aqua Lungers,,"Aug 9, 2019",Action
Totally Accurate Battlegrounds,74%,"Jun 5, 2018",Multiplayer
Monster Jam Steel Titans,67%,"Jun 25, 2019",Racing
Out of the Park Baseball 20,91%,"Mar 22, 2019",Sports
Thunder Rally,,When it's done,Indie
Batbarian,,2020,Indie
Moss,92%,"Feb 27, 2018",Adventure
Tell Me Everything,66%,"May 29, 2018",Adventure
Yooka-Laylee and the Impossible Lair,91%,"Oct 8, 2019",Adventure
Subnautica: Below Zero,92%,"Jan 30, 2019",Early Access
G2 Fighter / 基因特工,85%,"Aug 28, 2019",RPG
Creature in the Well,74%,"Sep 6, 2019",Action
El Hijo,,TBA,Indie
Dicey Dungeons,90%,"Aug 13, 2019",Deckbuilding
HITMAN™ 2,90%,"Nov 13, 2018",Stealth
Aground,96%,"Aug 8, 2018",Early Access
Pummel Party,89%,"Sep 20, 2018",Multiplayer
Tunche,,Coming soon,Online Co-Op
Reigns: Game of Thrones,77%,"Oct 18, 2018",RPG
Last Oasis,,Q1 2020,Early Access
Vambrace: Cold Soul,64%,"May 28, 2019",Adventure
Heave Ho,95%,"Aug 29, 2019",Indie
Anew: The Distant Light,,TBD,Indie
Stronghold: Warlords,,2020,Strategy
Super Crush KO,,"Jan 16, 2020",Indie
Legends of Ethernal,,2020,Action
Cube Escape: Paradox,96%,"Sep 20, 2018",Puzzle
Killsquad,65%,"Jul 16, 2019",Early Access
Jet Lancer,,2020,Action
Trials of Mana,,24th April 2020,RPG
American Fugitive,77%,"May 21, 2019",Action
Ary and the Secret of Seasons,,Q1 2020,Adventure
Far Cry® New Dawn,75%,"Feb 15, 2019",Open World
The Last Friend,,2019,Strategy
CARRION,,2020,Action
Flower,91%,"Feb 14, 2019",Casual
Speaking Simulator,,Early 2020,Indie
ROGAN: The Thief in the Castle,46%,"Jul 5, 2019",Adventure
SpongeBob SquarePants: Battle for Bikini Bottom - Rehydrated,,(When) I'm ready!,Cult Classic
Spiritfarer,,2020,Simulation
Thronebreaker: The Witcher Tales,89%,"Nov 9, 2018",Card Game
Mortal Kombat 11,76%,"Apr 23, 2019",Fighting
Infinite Children,64%,"May 6, 2019",Free to Play
Halo: The Master Chief Collection,92%,"Dec 3, 2019",Masterpiece
DeMagnete VR,,2019,Adventure
Spyro™ Reignited Trilogy,95%,"Sep 3, 2019",3D Platformer
WRATH: Aeon of Ruin,90%,"Nov 22, 2019",Early Access
Foregone,,2021,Action
KUNAI,,Early 2020,Indie
Terrorarium,,"Mar 20, 2019",Early Access
Hotel R'n'R,92%,"Aug 29, 2019",Early Access
Totally Reliable Delivery Service,,2021,Action
Moons of Madness,76%,"Oct 22, 2019",Adventure
THE LAST PLAYER:VR Battle Royale,76%,"Aug 7, 2019",Early Access
Age of Empires: Definitive Edition,77%,"Aug 19, 2019",Strategy
AUDICA: Rhythm Shooter,86%,"Mar 7, 2019",Rhythm
Immortal Realms: Vampire Wars,,,
Bravery Network Online,,Coming Soon,Strategy
FOCUS on YOU,88%,"Jul 5, 2019",Adventure
Struggling,,Early 2020,Indie
Trials of Fire,92%,"May 7, 2019",Early Access
ISLANDERS,95%,"Apr 4, 2019",Relaxing
Half Past Fate,,2019,Adventure
Bear With Me: The Lost Robots,87%,"Jul 31, 2019",Adventure
Wolfenstein: Youngblood,45%,"Jul 25, 2019",Action
Conan Chop Chop,,"Feb 25, 2020",Action
Starmancer,,Coming Soon,Indie
Embr,,2020,Early Access
Project Witchstone,,When witchstones wake up,Indie
Devolver Bootleg,93%,"Jun 9, 2019",Indie
Autumn's End,,Coming Soon,Adventure
Doctor Who: The Edge Of Time,68%,"Nov 12, 2019",Adventure
Bite the Bullet,,Q1 2020,Action
Cris Tales,,2020,Adventure
The Walking Dead Onslaught,,2020,Action
Destiny 2,89%,"Oct 1, 2019",Looter Shooter
Baldur's Gate 3,,To Be Announced,RPG
Cyberpunk 2077,,"Apr 15, 2020",Cyberpunk
Budget Cuts 2: Mission Insolvency,90%,"Dec 12, 2019",Action
Blair Witch,,,
Acron: Attack of the Squirrels!,88%,"Aug 29, 2019",Action
Unexplored 2: The Wayfarer's Legacy,,Coming in 2020,Indie
Circuit Superstars,,2020,Racing
Fall Guys: Ultimate Knockout,,2020,Massively Multiplayer
Twelve Minutes,,TBD,Indie
The Dark Crystal: Age of Resistance Tactics,,"Feb 4, 2020",RPG
Gears 5,60%,"Sep 5, 2019",Action
The Curious Tale of the Stolen Pets,81%,"Nov 14, 2019",Adventure
Super Space Club,,,Action
Commandos 2 - HD Remaster,,"Jan 24, 2020",Strategy
Praetorians - HD Remaster,,"Jan 24, 2020",Strategy
Eastshade,89%,"Feb 13, 2019",Exploration
STAR WARS Jedi: Fallen Order™,92%,"Nov 14, 2019",Action
Ancestors: The Humankind Odyssey,,2020,Adventure
Door Kickers,94%,"Oct 20, 2014",Tactical
Mirror's Edge™,87%,"Jan 13, 2009",Parkour
The Outer Worlds,,2020,RPG
ICEY,91%,"Nov 17, 2016",Action
RimWorld,98%,"Oct 17, 2018",Colony Sim
Outward,75%,"Mar 26, 2019",RPG
Dead Cells,95%,"Aug 6, 2018",Souls-like
APE OUT,94%,"Feb 28, 2019",Indie
Catherine Classic,90%,"Jan 10, 2019",Sexual Content
Iris.Fall,89%,"Dec 7, 2018",Adventure
SCP: Secret Laboratory,88%,"Dec 29, 2017",Free to Play
S.T.A.L.K.E.R.: Call of Pripyat,95%,"Feb 11, 2010",Atmospheric
Griftlands,,June 2020,Indie
Magicite,85%,"Jun 9, 2014",Indie
Trover Saves the Universe,92%,"Jun 4, 2019",Adventure
Metro: Last Light Redux,82%,"Aug 25, 2014",Post-apocalyptic
Grand Theft Auto V,76%,"Apr 14, 2015",Open World
SteamWorld Quest: Hand of Gilgamech,90%,"May 31, 2019",Deckbuilding
Disco Elysium,95%,"Oct 15, 2019",RPG
Amnesia: The Dark Descent,95%,"Sep 8, 2010",Horror
Deep Rock Galactic,,,
Outer Wilds,,TBD,Adventure
Don't Starve Together,96%,"Apr 21, 2016",Open World Survival Craft
A Hat in Time,98%,"Oct 5, 2017",Cute
The Painscreek Killings,87%,"Sep 27, 2017",Detective
SUNLESS SKIES,85%,"Jan 31, 2019",Steampunk
The Sinking City,,2020,Adventure
Void Bastards,88%,"May 28, 2019",Action Roguelike
Lost Castle / 失落城堡,90%,"Aug 31, 2016",Action
Do Not Feed the Monkeys,,,
Celeste,97%,"Jan 25, 2018",Precision Platformer
Titan Souls,81%,"Apr 14, 2015",Souls-like
For The King,85%,"Apr 19, 2018",RPG
Hypnospace Outlaw,98%,"Mar 12, 2019",Simulation
Valiant Hearts: The Great War™ / Soldats Inconnus : Mémoires de la Grande Guerre™,95%,"Jun 25, 2014",Masterpiece
Control,,Coming August 2020,Action
Praey for the Gods,85%,"Jan 31, 2019",Early Access
Orcs Must Die!,96%,"Oct 11, 2011",Tower Defense
Swords & Souls: Neverseen,90%,"Jul 22, 2019",RPG
